Date,Price,Open,High,Low,Vol.,Change %
04/17/2025,1968.38,1953.25,1968.38,1953.25,15.06K,0.48%
04/16/2025,1959.03,1971.41,1975.38,1955.12,19.59K,-0.67%
04/15/2025,1972.3,1963.69,1977.92,1963.69,14.69K,0.45%
04/14/2025,1963.37,1937.22,1965.58,1937.22,13.06K,0.89%
04/11/2025,1946.14,1945.74,1958.37,1938.9,20.32K,0.25%
04/10/2025,1941.33,1858.16,2001.89,1858.16,39.04K,4.47%
04/09/2025,1858.35,1893.81,1895.8,1856.8,47.28K,-1.01%
04/08/2025,1877.4,1812.92,1881.45,1812.92,49.91K,3.77%
04/07/2025,1809.2,1905.63,1905.63,1764.14,90.48K,-5.64%
04/04/2025,1917.36,1960.99,1960.99,1915.62,45.11K,-2.48%
04/03/2025,1966.15,1999.74,1999.74,1958.79,29.57K,-1.86%
04/02/2025,2003.37,2020.08,2021.81,2003.37,11.22K,-0.85%
04/01/2025,2020.58,2023.21,2028.27,2017.22,14.82K,0.19%
03/31/2025,2016.65,2021.72,2034.33,2013.68,20.26K,-0.17%
03/28/2025,2020.1,2025.95,2030.43,2020.1,16.88K,-0.21%
03/27/2025,2024.32,2015.93,2029.56,2012.31,21.51K,0.30%
03/26/2025,2018.22,2023.92,2026.54,2014.89,12.31K,-0.03%
03/25/2025,2018.79,2012.11,2029.14,2012.11,16.05K,-0.10%
03/24/2025,2020.81,2001.47,2026.42,1999.73,19.87K,0.69%
03/21/2025,2006.93,2006.41,2017.03,2005.22,25.87K,0.04%
03/20/2025,2006.21,2018.39,2024.35,1980.76,26.10K,-0.72%
03/19/2025,2020.7,2025.4,2038.29,2018.05,18.33K,-0.46%
03/18/2025,2030,2015.28,2030,2011.12,20.30K,1.08%
03/17/2025,2008.35,2006.5,2016.61,2001.08,18.89K,0.11%
03/14/2025,2006.17,2007.04,2013.92,2004.87,8.84K,0.24%
03/13/2025,2001.43,2010.09,2011.11,2000.78,9.50K,-0.51%
03/12/2025,2011.7,2003.7,2013.51,1994.45,14.71K,0.34%
03/11/2025,2004.86,2005.25,2017.64,2000.83,21.87K,0.42%
03/10/2025,1996.51,2022.21,2027.04,1996.51,22.38K,-1.57%
03/07/2025,2028.31,2024.58,2030.02,2023.39,23.00K,-0.12%
03/06/2025,2030.8,2010.3,2030.8,2010.3,25.14K,1.57%
03/05/2025,1999.42,1972.45,2007.96,1972.45,22.59K,1.24%
03/04/2025,1974.98,2048.47,2048.67,1974.98,35.01K,-3.54%
